0.500000 0.682616 0.002643 56.833333 6000 40
0.600000 0.952788 0.006029 56.833333 6000 100
0.700000 1.556384 0.012624 56.833333 6000 100
0.750000 2.237074 0.014700 27.848333 6000 100
0.780000 2.972890 0.019524 27.848333 10000 100
0.800000 3.673835 0.049242 56.833333 6000 100
0.810000 4.060015 0.040558 27.848333 6000 75
0.820000 4.552231 0.047611 27.848333 6000 100
0.830000 4.943549 0.046806 27.848333 6000 50
0.850000 5.949171 0.056850 27.848333 6000 60
0.900000 7.807838 0.097279 56.833333 6000 100
1.000000 10.278199 0.072972 56.833333 6000 100
1.100000 11.610156 0.082782 56.833333 6000 300
2.000000 16.220641 0.048160 56.833333 6000 100
