0.748144 1.819075 
0.750135 1.858642 
0.752126 1.895426 
0.754117 1.929421 
0.756108 1.960578 
0.758099 1.988835 
0.760090 2.014161 
0.762081 2.036592 
0.764072 2.056256 
0.766063 2.073390 
0.768054 2.088332 
0.770045 2.101508 
0.772036 2.113407 
0.774027 2.124544 
0.776018 2.135430 
0.778009 2.146543 
0.780000 2.158298 
0.781991 2.171025 
0.783982 2.184951 
0.785973 2.200176 
0.787964 2.216647 
0.789955 2.234130 
0.791946 2.252178 
0.793937 2.270096 
0.795928 2.286922 
0.797919 2.301419 
0.799910 2.312103 
0.801901 2.317299 
0.803892 2.315241 
0.805883 2.304210 
0.807874 2.282690 
0.809865 2.249529 
0.811856 2.204078 
0.813847 2.146283 
0.815838 2.076711 
#0.817829 1.996519 
#0.819820 1.907347 
#0.821811 1.811175 
#0.823802 1.710159 
#0.825793 1.606468 
#0.827784 1.502147 
