0.500000 0.510300 0.001324 14.166667 10000 10
0.600000 0.645236 0.001740 14.166667 10000 10
0.700000 0.877956 0.002895 14.166667 10000 20
0.800000 1.311192 0.004682 14.166667 10000 25
0.820000 1.425837 0.005312 6.941667 10000 20
0.830000 1.485272 0.005657 6.941667 9506 14
0.840000 1.552600 0.005602 6.941667 10000 16
0.850000 1.603687 0.006065 6.941667 10000 40
0.860000 1.674188 0.006175 6.941667 10000 25
0.900000 1.936115 0.007545 14.166667 10000 100
1.000000 2.505103 0.006947 14.166667 10000 40
1.100000 2.884245 0.006829 14.166667 10000 80
2.000000 4.181418 0.004974 14.166667 10000 100
