0.500000 0.715660 0.000430 12000 2
0.600000 0.949829 0.000450 12000 2
0.700000 1.217005 0.000532 12000 10
0.750000 1.371067 0.000545 12000 6
0.780000 1.474364 0.000643 12000 10
0.800000 1.544173 0.000851 11000 50
0.810000 1.580391 0.000726 12000 20
0.820000 1.614684 0.000761 12000 24
0.830000 1.646553 0.000765 12000 30
0.850000 1.708503 0.000659 12000 30
0.900000 1.826055 0.000612 12000 75
1.000000 1.981936 0.000363 12000 16
1.100000 2.086557 0.000397 6000 10
2.000000 2.449397 0.000124 12000 4


